iter	MultiClass
0	1.087456437
1	1.077491949
2	1.068707885
3	1.057420629
4	1.049752049
5	1.040125103
6	1.031560083
7	1.024111413
8	1.016840506
9	1.009999787
10	1.002431466
11	0.9937227328
12	0.9887994969
13	0.9814902919
14	0.9748553079
15	0.9695317925
16	0.9629168493
17	0.9555476787
18	0.9500097133
19	0.9435309609
20	0.9384455584
21	0.9330891954
22	0.9286364413
23	0.9244258823
24	0.9191893753
25	0.9121834023
26	0.9073558027
27	0.9043911879
28	0.9009937171
29	0.8983081646
30	0.8930452591
31	0.8891962612
32	0.8837744731
33	0.8785241906
34	0.8746566827
35	0.8701026116
36	0.8655133092
37	0.8619719344
38	0.8575803302
39	0.8541857418
40	0.8501361303
41	0.8460653684
42	0.8437746956
43	0.8422758616
44	0.8391538206
45	0.8349994141
46	0.8325858967
47	0.8293046067
48	0.8263445
49	0.8222705472
50	0.8185578938
51	0.8153697631
52	0.8120382676
53	0.8105106959
54	0.806452054
55	0.8041663605
56	0.8021752811
57	0.797962309
58	0.7949641144
59	0.7920239358
60	0.7899886664
61	0.7864360603
62	0.7842170214
63	0.7823204447
64	0.7788064566
65	0.77545795
66	0.7733430231
67	0.7704349726
68	0.767296106
69	0.7645220911
70	0.7610259245
71	0.7591624393
72	0.7570519354
73	0.7543630709
74	0.7526741878
75	0.7506598433
76	0.7466599168
77	0.7447089648
78	0.7418156054
79	0.7400435956
80	0.7378924547
81	0.7340585932
82	0.7313181944
83	0.729293153
84	0.7270495812
85	0.7253825302
86	0.7229841858
87	0.7202001041
88	0.7185724859
89	0.7169771112
90	0.7137950531
91	0.7112503438
92	0.7086557825
93	0.7059436736
94	0.7036867449
95	0.702415212
96	0.6995420182
97	0.6977038092
98	0.6941891979
99	0.6925038685
100	0.6892563434
101	0.6878197044
102	0.6862731871
103	0.6839921273
104	0.6819293317
105	0.6795392333
106	0.6756859035
107	0.6734442852
108	0.670533376
109	0.6682185174
110	0.6648917167
111	0.6622012392
112	0.6588988624
113	0.6554341891
114	0.6538836524
115	0.6518537037
116	0.6503629578
117	0.6476828557
118	0.6462081599
119	0.6431682237
120	0.6393577774
121	0.6367357229
122	0.6342604143
123	0.6332503439
124	0.6300186375
125	0.6271624674
126	0.625612829
127	0.6231691442
128	0.62107944
129	0.6193638341
130	0.6170520969
131	0.6141856967
132	0.6118149291
133	0.6089230254
134	0.6066503209
135	0.6047418647
136	0.601684495
137	0.5986019561
138	0.5967378312
139	0.5936574898
140	0.5915474566
141	0.5886206923
142	0.5875181364
143	0.5845308435
144	0.5829906339
145	0.5813284884
146	0.5794007846
147	0.5776805447
148	0.5753817697
149	0.573824652
150	0.5724434434
151	0.5691990605
152	0.5670864162
153	0.565399758
154	0.5644250978
155	0.5614142733
156	0.5600198325
157	0.5582599575
158	0.5566582198
159	0.5546360697
160	0.5530816627
161	0.5496788438
162	0.5474104043
163	0.5465116369
164	0.5442437682
165	0.542481161
166	0.540982171
167	0.5388047571
168	0.5368307646
169	0.5343312963
170	0.5330853088
171	0.5312923219
172	0.5298915587
173	0.5274204937
174	0.5252562174
175	0.5237632415
176	0.5225765004
177	0.5204888258
178	0.5186584807
179	0.5163938597
180	0.5136581074
181	0.5111042249
182	0.5096206602
183	0.5077720775
184	0.5059531525
185	0.5042487891
186	0.5030872834
187	0.5017800879
188	0.5005396378
189	0.499067862
190	0.4981022781
191	0.4968849895
192	0.4954363808
193	0.4945191273
194	0.4937349009
195	0.4922041775
196	0.4913916353
197	0.4902789476
198	0.4892765464
199	0.487014097
200	0.4856322119
201	0.4839471983
202	0.4825302756
203	0.4810164884
204	0.4802633088
205	0.478018534
206	0.4756956108
207	0.4741423514
208	0.471771036
209	0.4707236793
210	0.4692534281
211	0.4683651172
212	0.4674011601
213	0.4657504286
214	0.4645463454
215	0.463366391
216	0.4627990485
217	0.4612181338
218	0.4586808268
219	0.4576453963
220	0.456861228
221	0.4550602305
222	0.4542388323
223	0.4533494269
224	0.4526891246
225	0.4516494765
226	0.4506113726
227	0.4482030523
228	0.4469685794
229	0.4455959917
230	0.4446379489
231	0.4433257588
232	0.4422131172
233	0.4405526393
234	0.4391859559
235	0.4372108854
236	0.4356828334
237	0.4338726913
238	0.4323990059
239	0.4310284302
240	0.4299860131
241	0.4281876781
242	0.4274140605
243	0.4267109696
244	0.425656451
245	0.4247648203
246	0.4241090481
247	0.4234272284
248	0.4222946778
249	0.4215021464
250	0.420421518
251	0.4195056293
252	0.4184473976
253	0.4166431451
254	0.4151605305
255	0.413740308
256	0.4125330299
257	0.4108701527
258	0.4097805185
259	0.4091309587
260	0.4074189909
261	0.4064667973
262	0.4057419183
263	0.4048218673
264	0.4034148813
265	0.4028135161
266	0.4023200056
267	0.4016394794
268	0.4006395698
269	0.3991554973
270	0.3985499956
271	0.3976762845
272	0.3967252285
273	0.3956008942
274	0.3944376162
275	0.393258454
276	0.3928046787
277	0.391713235
278	0.3908826474
279	0.3897616707
280	0.3886387245
281	0.3874192052
282	0.3862611556
283	0.3854139907
284	0.3845812626
285	0.383194041
286	0.3823006451
287	0.3809803918
288	0.3795421794
289	0.3781358241
290	0.3774261359
291	0.3760639032
292	0.3750865806
293	0.3735478804
294	0.3727193487
295	0.3711108328
296	0.3703072352
297	0.3694605537
298	0.3687642731
299	0.3681985323
300	0.3673408563
301	0.3662684355
302	0.3648914853
303	0.3634759275
304	0.3624677524
305	0.361765015
306	0.3607102847
307	0.3592317316
308	0.3587984594
309	0.3577484687
310	0.3561726719
311	0.3552634974
312	0.3545257436
313	0.3539343104
314	0.3531526837
315	0.352103346
316	0.3510933782
317	0.3498288282
318	0.3488422471
319	0.3476022709
320	0.346346441
321	0.3456673182
322	0.3448143751
323	0.3437177005
324	0.3423938801
325	0.3412265725
