iter	Passed	Remaining
0	161	161317
1	168	84163
2	173	57681
3	177	44178
4	181	36079
5	185	30681
6	189	26846
7	193	23946
8	198	21811
9	203	20126
10	207	18638
11	211	17394
12	215	16354
13	219	15444
14	223	14677
15	227	13990
16	236	13693
17	245	13392
18	252	13029
19	256	12563
20	264	12312
21	276	12294
22	286	12162
23	290	11808
24	298	11640
25	302	11325
26	307	11069
27	319	11097
28	332	11143
29	338	10958
30	352	11027
31	361	10935
32	367	10762
33	371	10552
34	380	10497
35	385	10313
36	396	10313
37	401	10162
38	411	10130
39	419	10066
40	431	10101
41	436	9965
42	444	9895
43	450	9794
44	463	9841
45	467	9705
46	476	9653
47	481	9555
48	491	9548
49	498	9472
50	506	9432
51	511	9326
52	528	9446
53	537	9408
54	543	9332
55	553	9326
56	562	9309
57	570	9268
58	575	9173
59	580	9100
60	595	9165
61	604	9142
62	608	9047
63	613	8976
64	627	9026
65	638	9041
66	643	8958
67	660	9049
68	670	9043
69	674	8959
70	680	8907
71	692	8930
72	704	8943
73	710	8893
74	722	8911
75	733	8916
76	738	8850
77	742	8778
78	752	8767
79	756	8700
80	767	8703
81	771	8639
82	776	8575
83	799	8719
84	803	8650
85	807	8584
86	832	8734
87	837	8677
88	844	8642
89	854	8643
90	868	8673
91	876	8652
92	890	8685
93	902	8695
94	911	8686
95	918	8645
96	930	8661
97	935	8608
98	944	8599
99	952	8568
100	961	8555
101	966	8507
102	974	8483
103	981	8459
104	992	8464
105	998	8424
106	1006	8400
107	1021	8439
108	1031	8431
109	1037	8397
110	1044	8363
111	1052	8342
112	1060	8322
113	1070	8320
114	1079	8307
115	1088	8296
116	1093	8256
117	1100	8227
118	1106	8192
119	1111	8154
120	1124	8172
121	1130	8133
122	1138	8117
123	1148	8116
124	1160	8121
125	1168	8103
126	1173	8066
127	1178	8030
128	1187	8020
129	1194	7991
130	1199	7957
131	1205	7924
132	1210	7888
133	1218	7873
134	1233	7903
135	1242	7894
136	1265	7968
137	1284	8023
138	1305	8089
139	1319	8103
140	1328	8090
141	1334	8062
142	1340	8034
143	1351	8033
144	1361	8027
145	1367	8000
146	1373	7971
147	1381	7953
148	1387	7926
149	1400	7938
150	1416	7963
151	1435	8006
152	1448	8017
153	1465	8052
154	1494	8149
155	1501	8123
156	1511	8118
157	1528	8145
158	1541	8155
159	1547	8125
160	1562	8142
161	1578	8167
162	1598	8208
163	1608	8201
164	1617	8183
165	1631	8198
166	1644	8201
167	1660	8224
168	1686	8292
169	1702	8314
170	1710	8293
171	1725	8306
172	1731	8278
173	1743	8278
174	1760	8299
175	1774	8308
176	1790	8325
177	1803	8330
178	1809	8299
179	1825	8316
180	1839	8325
181	1847	8305
182	1857	8293
183	1874	8311
184	1887	8315
185	1898	8309
186	1905	8282
187	1911	8256
188	1920	8240
189	1935	8250
190	1941	8221
191	1950	8207
192	1957	8184
193	1970	8186
194	1979	8170
195	1985	8144
196	2000	8155
197	2010	8144
198	2016	8117
199	2026	8106
200	2045	8131
201	2051	8106
202	2065	8110
203	2075	8100
204	2083	8079
205	2103	8106
206	2115	8103
207	2124	8091
208	2137	8088
209	2147	8080
210	2163	8088
211	2178	8097
212	2187	8084
213	2209	8116
214	2216	8094
215	2233	8107
216	2246	8106
217	2259	8105
218	2274	8112
219	2283	8096
220	2293	8084
221	2304	8075
222	2309	8048
223	2320	8039
224	2334	8040
225	2341	8018
226	2351	8006
227	2358	7985
228	2372	7986
229	2381	7974
230	2389	7953
231	2403	7955
232	2409	7930
233	2416	7911
234	2424	7893
235	2438	7893
236	2450	7888
237	2462	7883
238	2469	7863
239	2478	7850
240	2488	7835
241	2504	7843
242	2513	7829
243	2518	7803
244	2527	7789
245	2533	7764
246	2540	7744
247	2546	7720
248	2551	7696
249	2558	7675
250	2566	7658
251	2572	7635
252	2578	7613
253	2584	7591
254	2591	7570
255	2599	7555
256	2605	7531
257	2610	7508
258	2615	7484
259	2623	7466
260	2632	7454
261	2638	7432
262	2643	7409
263	2648	7385
264	2656	7367
265	2664	7353
266	2670	7331
267	2677	7314
268	2683	7293
269	2699	7298
270	2705	7277
271	2710	7255
272	2716	7233
273	2723	7217
274	2729	7196
275	2738	7183
276	2744	7163
277	2751	7145
278	2758	7127
279	2765	7111
280	2771	7092
281	2777	7072
282	2783	7053
283	2789	7033
284	2797	7019
285	2803	6999
286	2810	6981
287	2816	6964
288	2823	6947
289	2831	6932
290	2840	6921
291	2846	6900
292	2851	6880
293	2857	6862
294	2866	6849
295	2872	6831
296	2877	6811
297	2885	6798
298	2897	6793
299	2903	6774
300	2908	6754
301	2915	6737
302	2920	6718
303	2926	6701
304	2934	6687
305	2940	6668
306	2945	6649
307	2950	6630
308	2957	6613
309	2964	6597
310	2970	6579
311	2975	6561
312	2980	6542
313	2987	6526
314	2996	6516
315	3003	6501
316	3009	6484
317	3016	6468
318	3021	6450
319	3027	6433
320	3035	6421
321	3042	6405
322	3048	6388
323	3053	6371
324	3061	6358
325	3068	6343
326	3074	6327
327	3079	6310
328	3085	6293
329	3091	6276
330	3098	6263
331	3104	6247
332	3110	6230
333	3115	6213
334	3121	6195
335	3127	6180
336	3133	6164
337	3139	6148
338	3144	6130
339	3150	6115
340	3155	6099
341	3162	6084
342	3168	6068
343	3173	6051
344	3178	6035
345	3185	6020
346	3194	6010
347	3203	6002
348	3211	5989
349	3217	5976
350	3224	5962
351	3231	5948
352	3237	5933
353	3243	5919
354	3249	5904
355	3256	5891
356	3263	5878
357	3274	5872
358	3286	5867
359	3296	5861
360	3309	5858
361	3319	5849
362	3326	5838
363	3337	5830
364	3344	5818
365	3351	5804
366	3357	5790
367	3363	5776
368	3369	5761
369	3375	5747
370	3381	5733
371	3387	5719
372	3393	5704
373	3399	5690
374	3406	5677
375	3413	5664
376	3419	5650
377	3425	5635
378	3430	5621
379	3436	5607
380	3442	5593
381	3448	5578
382	3454	5564
383	3460	5551
384	3466	5537
385	3472	5523
386	3478	5509
387	3483	5495
388	3489	5480
389	3494	5466
390	3500	5452
391	3506	5438
392	3513	5426
393	3518	5412
394	3524	5397
395	3529	5383
396	3535	5369
397	3540	5355
398	3546	5342
399	3552	5328
400	3558	5315
401	3563	5301
402	3569	5288
403	3575	5274
404	3580	5260
405	3586	5246
406	3591	5233
407	3597	5219
408	3603	5206
409	3608	5193
410	3615	5180
411	3620	5167
412	3626	5153
413	3631	5140
414	3637	5127
415	3642	5113
416	3648	5100
417	3654	5088
418	3659	5074
419	3665	5061
420	3670	5048
421	3676	5035
422	3683	5024
423	3688	5011
424	3695	5000
425	3701	4987
426	3706	4973
427	3712	4961
428	3717	4947
429	3723	4935
430	3728	4922
431	3733	4909
432	3739	4896
433	3744	4883
434	3750	4871
435	3756	4859
