iter	MultiClass
0	1.087521824
1	1.074749143
2	1.063468013
3	1.053298587
4	1.045621033
5	1.034669116
6	1.027576435
7	1.019973124
8	1.013664591
9	1.008148644
10	1.002494153
11	0.9940362653
12	0.989922983
13	0.9829387009
14	0.9772962105
15	0.9718068565
16	0.9666232047
17	0.9607824122
18	0.9549663085
19	0.9496914052
20	0.9437118393
21	0.9396148454
22	0.9356897209
23	0.9318272475
24	0.9272444365
25	0.9235737802
26	0.9179114829
27	0.9160737799
28	0.9128563739
29	0.9074411346
30	0.9014569233
31	0.8973800856
32	0.8921849939
33	0.8872243834
34	0.8836937449
35	0.8791464202
36	0.8752116909
37	0.8724703644
38	0.8699484279
39	0.8665615702
40	0.8616460829
41	0.857495251
42	0.8544227983
43	0.8520737853
44	0.8475048969
45	0.8435458757
46	0.8398370849
47	0.8366261946
48	0.8335876489
49	0.8302495185
50	0.8264282567
51	0.8235689067
52	0.8200429567
53	0.8176564501
54	0.8147885383
55	0.8122126336
56	0.80875074
57	0.8044447353
58	0.8005443795
59	0.7974757036
60	0.7942186629
61	0.7923506516
62	0.7894306304
63	0.7873321393
64	0.7835679902
65	0.7786841561
66	0.7755449977
67	0.772035837
68	0.7695913346
69	0.7671736061
70	0.7641119263
71	0.7627054205
72	0.7604919664
73	0.7575623391
74	0.755915035
75	0.753112291
76	0.7508392239
77	0.7459811111
78	0.7422422926
79	0.7393998565
80	0.7350596456
81	0.7327185882
82	0.7302258038
83	0.7274216854
84	0.7255687835
85	0.7229287595
86	0.721054398
87	0.718854262
88	0.7158702551
89	0.7127122688
90	0.709201851
91	0.7059135464
92	0.7024395352
93	0.6994632145
94	0.697048458
95	0.6933367578
96	0.6890959606
97	0.6851638907
98	0.6836595722
99	0.681755717
100	0.6802221094
101	0.6776511395
102	0.6766111239
103	0.6745617906
104	0.6702916076
105	0.668234965
106	0.6649668924
107	0.6624280689
108	0.659497744
109	0.6577166436
110	0.6553454721
111	0.6528125928
112	0.6507273889
113	0.6485478652
114	0.6456569556
115	0.6419270138
116	0.6404196122
117	0.6383126426
118	0.6359655584
119	0.6349748653
120	0.6333785192
121	0.6320082758
122	0.6303694849
123	0.6282099199
124	0.6261763559
125	0.6225601227
126	0.6201773325
127	0.6170468713
128	0.6156312569
129	0.6132159022
130	0.6112377925
131	0.609634697
132	0.6075210257
133	0.6050272841
134	0.6031914106
135	0.6015089091
136	0.5986378603
137	0.5954834539
138	0.5932423534
139	0.5910545327
140	0.5894184552
141	0.5873574111
142	0.5860568993
143	0.5840058891
144	0.5831340726
145	0.5815215555
146	0.5791703285
147	0.5775529365
148	0.5745016605
149	0.5712205462
150	0.5682557951
151	0.5663618992
152	0.5644738128
153	0.5627275829
154	0.5602168996
155	0.558487159
156	0.5556830322
