iter	Passed	Remaining
0	33	33147
1	42	21291
2	48	16144
3	58	14639
4	65	13053
5	76	12613
6	80	11478
7	85	10604
8	92	10190
9	96	9585
10	102	9182
11	109	9002
12	114	8709
13	123	8696
14	129	8472
15	137	8467
16	142	8218
17	146	7998
18	155	8009
19	161	7903
20	167	7816
21	173	7722
22	178	7582
23	186	7589
24	191	7484
25	196	7360
26	206	7454
27	211	7341
28	221	7409
29	226	7337
30	235	7366
31	240	7275
32	245	7181
33	253	7189
34	257	7106
35	263	7058
36	270	7036
37	275	6966
38	283	6984
39	288	6919
40	292	6844
41	300	6856
42	305	6792
43	309	6732
44	318	6758
45	324	6725
46	333	6769
47	340	6759
48	350	6806
49	356	6768
50	364	6789
51	369	6738
52	374	6699
53	383	6720
54	389	6693
55	398	6725
56	405	6705
57	414	6734
58	421	6726
59	431	6757
60	438	6745
61	448	6779
62	454	6754
63	463	6785
64	470	6764
65	479	6790
66	485	6757
67	494	6778
68	500	6746
69	506	6723
70	516	6757
71	527	6798
72	533	6777
73	543	6805
74	549	6782
75	562	6841
76	567	6799
77	573	6777
78	579	6752
79	583	6711
80	592	6721
81	597	6693
82	602	6660
83	610	6656
84	615	6629
85	624	6639
86	630	6611
87	635	6586
88	644	6598
89	650	6575
90	657	6568
91	661	6532
92	666	6499
93	672	6483
94	677	6455
95	682	6422
96	689	6418
97	694	6395
98	702	6397
99	708	6373
100	712	6343
101	719	6336
102	724	6308
103	728	6276
104	735	6270
105	741	6251
106	745	6223
107	752	6211
108	756	6184
109	761	6157
110	767	6149
111	773	6133
112	778	6109
113	786	6109
114	790	6087
115	795	6064
116	803	6061
117	809	6047
118	816	6041
119	821	6023
120	827	6014
121	835	6013
122	841	5997
123	848	5997
124	853	5975
125	858	5952
126	864	5943
127	869	5923
128	873	5898
129	878	5879
130	884	5865
131	888	5844
132	894	5831
133	900	5819
134	905	5799
135	911	5791
136	916	5771
137	920	5751
138	926	5736
139	931	5722
140	935	5699
141	939	5679
142	946	5674
143	951	5655
144	955	5635
145	962	5628
146	967	5612
147	971	5591
148	978	5587
149	982	5569
150	987	5550
151	994	5545
152	998	5527
153	1002	5508
154	1010	5510
155	1016	5501
156	1023	5494
157	1028	5480
158	1032	5462
159	1037	5447
160	1043	5438
161	1048	5421
162	1053	5410
163	1058	5397
164	1063	5382
165	1071	5381
166	1075	5366
167	1080	5349
168	1088	5354
169	1094	5344
170	1099	5328
171	1106	5326
172	1111	5313
173	1121	5322
174	1129	5322
175	1142	5348
176	1153	5362
177	1158	5351
178	1169	5363
179	1174	5352
180	1179	5337
181	1187	5336
182	1192	5323
183	1196	5308
184	1204	5305
185	1209	5291
186	1213	5277
187	1221	5275
188	1225	5260
189	1230	5246
190	1239	5248
191	1243	5234
192	1250	5228
193	1254	5214
194	1259	5199
195	1266	5194
196	1271	5182
197	1275	5167
198	1282	5161
199	1287	5148
200	1291	5133
201	1296	5121
202	1301	5111
203	1306	5096
204	1311	5086
205	1317	5078
206	1322	5066
207	1329	5062
208	1334	5050
209	1339	5038
210	1346	5034
211	1351	5023
212	1355	5008
213	1362	5004
214	1367	4991
215	1371	4977
216	1377	4971
217	1382	4960
218	1387	4946
219	1392	4937
220	1397	4926
221	1402	4913
222	1406	4901
223	1413	4895
224	1417	4883
225	1422	4870
226	1428	4865
227	1432	4851
228	1437	4839
229	1444	4836
230	1449	4824
231	1453	4811
232	1459	4805
233	1464	4793
234	1468	4781
235	1475	4776
236	1479	4764
237	1484	4752
238	1491	4749
239	1496	4740
240	1501	4727
241	1507	4723
242	1513	4713
243	1517	4700
244	1524	4698
245	1529	4686
246	1533	4674
247	1540	4671
248	1545	4661
249	1549	4648
250	1557	4646
251	1562	4637
252	1566	4626
253	1574	4623
254	1580	4618
255	1588	4617
256	1593	4607
257	1598	4598
258	1608	4600
259	1613	4592
260	1624	4601
261	1632	4599
262	1646	4614
263	1661	4631
264	1676	4648
265	1682	4641
266	1691	4642
267	1698	4638
268	1708	4642
269	1714	4636
270	1725	4640
271	1730	4632
272	1740	4634
273	1745	4625
274	1755	4629
275	1761	4621
276	1770	4620
277	1774	4609
278	1779	4598
279	1787	4596
280	1792	4586
281	1801	4586
282	1806	4576
283	1811	4566
284	1820	4567
285	1826	4559
286	1834	4556
287	1840	4549
288	1845	4540
289	1855	4543
290	1862	4537
291	1871	4538
292	1879	4534
293	1887	4533
294	1893	4526
295	1901	4523
296	1906	4513
297	1915	4512
298	1922	4506
299	1931	4506
300	1937	4498
301	1941	4487
302	1952	4490
303	1956	4479
304	1964	4476
305	1968	4465
306	1974	4456
307	1982	4453
308	1987	4445
309	1993	4437
310	2001	4435
311	2006	4425
312	2014	4421
313	2019	4411
314	2024	4402
315	2030	4395
316	2035	4385
317	2043	4383
318	2048	4373
319	2053	4363
320	2061	4360
321	2067	4352
322	2075	4349
323	2079	4339
324	2084	4329
325	2092	4325
326	2096	4315
327	2101	4305
328	2110	4304
329	2115	4295
330	2123	4292
331	2129	4284
332	2133	4273
333	2142	4271
334	2148	4264
335	2153	4254
336	2159	4249
337	2164	4238
338	2170	4232
339	2175	4223
340	2180	4213
341	2187	4209
342	2192	4199
343	2196	4189
344	2204	4185
345	2209	4175
346	2213	4165
347	2221	4162
348	2228	4156
349	2235	4151
350	2241	4144
351	2246	4135
352	2256	4136
353	2262	4129
354	2271	4126
355	2276	4118
356	2283	4113
357	2289	4105
358	2294	4096
359	2304	4096
360	2311	4091
361	2320	4089
362	2326	4081
363	2334	4079
364	2340	4072
365	2349	4069
366	2355	4062
367	2360	4053
368	2369	4052
369	2375	4045
370	2386	4046
371	2390	4036
372	2399	4032
373	2404	4025
374	2409	4015
375	2417	4011
376	2421	4001
377	2425	3991
378	2432	3986
379	2436	3976
380	2441	3966
381	2448	3961
382	2453	3951
383	2457	3942
384	2465	3938
385	2471	3931
386	2477	3923
387	2483	3917
388	2488	3908
389	2496	3904
390	2501	3895
391	2506	3887
392	2514	3883
393	2518	3873
394	2523	3864
395	2530	3859
396	2534	3849
397	2538	3839
398	2546	3835
399	2550	3825
400	2554	3816
401	2562	3812
402	2567	3803
403	2571	3794
404	2580	3790
405	2585	3782
406	2593	3778
407	2598	3770
408	2602	3760
409	2611	3758
410	2616	3749
411	2620	3740
412	2629	3736
413	2633	3727
414	2639	3720
415	2646	3715
416	2651	3706
417	2660	3703
418	2665	3695
419	2671	3689
420	2679	3684
421	2684	3676
422	2693	3673
423	2698	3665
424	2706	3661
425	2712	3654
426	2722	3653
427	2728	3646
428	2736	3642
429	2742	3635
430	2748	3627
431	2758	3627
432	2763	3618
433	2773	3617
434	2779	3609
435	2794	3614
436	2806	3615
437	2811	3607
438	2817	3601
439	2822	3592
440	2826	3582
441	2834	3578
442	2838	3569
443	2843	3560
444	2851	3556
445	2856	3548
446	2860	3539
447	2873	3540
448	2880	3534
449	2889	3531
450	2896	3525
451	2901	3517
452	2906	3509
453	2915	3506
454	2920	3498
455	2925	3490
456	2933	3486
457	2938	3477
458	2948	3475
459	2971	3488
460	2998	3505
461	3012	3507
462	3034	3519
463	3063	3538
464	3080	3543
465	3097	3550
466	3105	3544
467	3116	3542
468	3128	3542
469	3136	3536
470	3148	3536
471	3162	3537
472	3169	3531
473	3180	3529
474	3188	3523
475	3198	3521
476	3209	3518
477	3216	3512
478	3227	3510
479	3236	3506
480	3247	3503
481	3259	3503
482	3268	3498
483	3280	3497
484	3292	3496
485	3299	3490
486	3313	3490
487	3325	3488
488	3333	3482
489	3341	3477
490	3347	3470
491	3356	3465
492	3362	3457
493	3370	3452
494	3376	3444
495	3381	3435
496	3389	3430
497	3394	3422
498	3400	3413
499	3407	3407
500	3413	3399
501	3420	3393
502	3426	3385
503	3434	3380
504	3440	3372
505	3445	3364
506	3453	3357
507	3459	3350
508	3467	3344
509	3474	3337
510	3479	3330
511	3488	3325
512	3494	3317
513	3503	3312
514	3509	3305
515	3519	3300
516	3525	3293
517	3534	3288
518	3540	3281
519	3550	3277
520	3557	3270
521	3565	3265
522	3571	3257
523	3577	3249
524	3584	3243
525	3590	3235
526	3600	3231
527	3607	3224
528	3615	3218
529	3622	3212
530	3630	3206
531	3638	3200
532	3645	3194
533	3652	3187
534	3658	3179
535	3666	3174
536	3672	3166
537	3681	3161
538	3689	3155
539	3699	3151
540	3711	3149
541	3719	3143
542	3729	3139
543	3735	3131
544	3744	3125
545	3750	3118
546	3756	3110
547	3764	3104
548	3770	3097
549	3779	3092
550	3785	3084
551	3793	3079
552	3801	3072
553	3811	3068
554	3820	3062
555	3828	3057
556	3834	3049
557	3843	3044
558	3850	3037
559	3860	3032
560	3866	3025
561	3873	3018
562	3879	3011
563	3885	3003
564	3894	2998
565	3900	2990
566	3910	2986
567	3918	2980
568	3928	2975
569	3938	2970
570	3945	2963
571	3954	2959
572	3963	2953
573	3972	2948
574	3979	2941
575	3988	2936
576	3994	2928
577	4000	2921
578	4008	2914
579	4014	2907
580	4024	2902
581	4031	2895
582	4041	2890
583	4047	2882
584	4055	2876
585	4061	2869
586	4070	2864
587	4076	2856
588	4085	2851
589	4091	2843
590	4097	2835
591	4106	2829
592	4112	2822
593	4121	2816
594	4127	2809
595	4137	2804
596	4145	2798
597	4154	2792
598	4160	2785
599	4169	2779
600	4175	2772
601	4186	2767
602	4192	2760
603	4200	2754
604	4206	2746
605	4215	2740
606	4221	2732
607	4227	2725
608	4234	2718
609	4240	2711
610	4249	2705
611	4256	2698
612	4266	2693
613	4272	2686
614	4284	2681
615	4291	2675
616	4300	2669
617	4308	2663
618	4316	2657
619	4326	2651
620	4333	2645
621	4343	2639
622	4352	2633
623	4363	2629
624	4375	2625
625	4385	2620
626	4396	2615
627	4402	2607
628	4412	2602
629	4419	2595
630	4427	2589
631	4433	2581
632	4441	2575
633	4446	2567
634	4453	2559
635	4460	2552
636	4465	2544
637	4474	2538
638	4480	2531
639	4489	2525
640	4494	2517
641	4501	2510
642	4508	2503
643	4514	2495
644	4523	2489
645	4529	2481
646	4537	2475
647	4543	2468
648	4550	2461
649	4557	2453
650	4562	2446
651	4571	2439
652	4576	2432
653	4585	2425
654	4591	2418
655	4596	2410
656	4604	2404
657	4610	2396
658	4618	2389
659	4624	2382
660	4630	2374
661	4640	2369
662	4648	2362
663	4655	2355
664	4660	2347
665	4669	2341
666	4675	2334
667	4683	2327
668	4689	2320
669	4696	2313
670	4702	2305
671	4708	2298
672	4716	2291
673	4722	2284
674	4733	2278
675	4740	2271
676	4749	2266
677	4756	2259
678	4770	2255
679	4786	2252
680	4796	2246
681	4806	2241
682	4816	2235
683	4822	2227
684	4830	2221
685	4837	2214
686	4845	2207
687	4851	2200
688	4859	2193
689	4865	2185
690	4870	2178
691	4879	2171
692	4885	2164
693	4893	2157
694	4900	2150
695	4908	2143
696	4913	2136
697	4925	2131
698	4933	2124
699	4942	2118
700	4949	2110
701	4958	2105
702	4965	2097
703	4973	2091
704	4979	2083
705	4985	2075
706	4993	2069
707	4998	2061
708	5007	2055
709	5013	2047
710	5021	2040
711	5027	2033
712	5032	2025
713	5041	2019
714	5047	2011
715	5055	2005
716	5061	1997
717	5067	1990
718	5074	1983
719	5079	1975
720	5088	1969
721	5097	1962
722	5105	1956
723	5111	1948
724	5119	1942
725	5125	1934
726	5136	1928
727	5160	1928
728	5192	1930
729	5241	1938
730	5258	1934
731	5291	1937
732	5316	1936
733	5347	1937
734	5374	1937
735	5407	1939
736	5453	1946
737	5475	1943
738	5494	1940
739	5511	1936
740	5531	1933
741	5550	1930
742	5564	1924
743	5575	1918
744	5582	1910
745	5593	1904
746	5599	1896
747	5609	1889
748	5624	1884
749	5639	1879
750	5658	1876
751	5674	1871
752	5684	1864
753	5698	1859
754	5719	1856
755	5738	1851
756	5762	1849
757	5789	1848
